feature,delta_mse,t_stat,p_value,significant
poly A/T,0.0009986631339415,33.71222479052959,1.1458795517218351e-247,True
C-rich,0.0766688287258148,119.19120445664024,0.0,True
DRACH,0.0005367980920709,27.993742236119644,6.825428969385204e-172,True
Motif 3,-8.610910299466923e-06,-0.5030507428936365,0.6925349940604646,False
CFIm,0.0069941002875566,81.30109007532394,0.0,True
Alt. CSE 1,-6.627502443734556e-05,-7.050387488979872,0.9999999999991006,False
Motif 6,0.0071790120564401,64.88567239210072,0.0,True
Motif 7,0.0005880948738195,24.957380260915063,3.05677329733187e-137,True
Motif 8,-5.353112159274531e-13,-0.5411851415959374,0.7058092411713627,False
CstF,0.0222112424671649,121.10767372232526,0.0,True
RBM4/FUS,0.0002417365467408,19.799121249824893,2.4762888378113998e-87,True
Alt. CSE 2,0.0004678699187934,15.632666305956253,2.6420851345320397e-55,True
Motif 12,0.0003202387306373,14.32516323221608,8.724388263562525e-47,True
hnRNP H,0.0028284788131713,45.0527219442685,0.0,True
FIP1,0.0005277645541355,17.703558974263945,2.696413690069275e-70,True
CSE,0.0566196180880069,119.0046583751993,0.0,True
