filter_i,filter_j,delta_mse,t_stat,p_value,significant
4,8,0.0017362749204039,15.448024600006963,5.241700827193933e-54,True
12,15,0.0017603648593649,15.610626480645188,4.2056715148796195e-55,True
13,20,0.0006280550733208,9.39656188870518,2.93820240757738e-21,True
