filter,delta_mse,t_stat,p_value,significant
0,0.0253506302833557,57.57844219774034,0.0,True
1,0.0006269857403822,10.337559026316576,2.531321778069935e-25,True
2,0.0001509115099906,3.575342481868302,0.0001750566319421,True
3,0.000475748325698,11.472528428118654,9.93269491522578e-31,True
4,0.0002224417839897,5.661665465810764,7.538264090811718e-09,True
5,-3.442459511893148e-11,-1.5144276547450826,0.9350380002804146,False
6,3.272115282015875e-05,1.030573827256754,0.1513729558970993,False
7,0.012270700186491,39.26943577573792,0.0,True
8,0.0003695783962029,6.614066473744961,1.8891020622418068e-11,True
9,0.0003894996771123,8.762953684438392,9.814312777296705e-19,True
10,5.071697887615301e-05,1.8361735607406435,0.0331690888994507,False
11,7.695917156524956e-05,5.973495664512644,1.169272559392489e-09,True
12,-1.1749156335338906e-11,-0.8162248459297772,0.7928121986438048,False
13,9.738895641930869e-06,0.3973333189172181,0.3455617242820252,False
14,7.909837715369683e-12,0.4189573066299828,0.337624605249361,False
15,-3.759135364100885e-11,-1.4558248794847737,0.9272762091247873,False
16,-2.769017307113764e-11,-0.5196278455499094,0.6983373078411104,False
17,5.875083947982919e-13,0.0126907714664105,0.4949372769816195,False
18,0.0001226985332323,4.452240377484892,4.258521009937503e-06,True
19,-4.928055533093279e-11,-0.4566448654471261,0.6760358031320726,False
20,7.198191153377775e-13,0.0399657356731207,0.4840603048893935,False
21,5.214554039412178e-05,4.676770414114086,1.4611056380427455e-06,True
22,2.5441164799855365e-11,0.5821658336194417,0.2802288605500627,False
23,2.6752200938062742e-05,2.3757126388403083,0.0087595012799509,False
24,-1.0417288559549931e-10,-1.3606975821964924,0.9131921634713976,False
25,0.0001219193145516,3.2914092276985,0.0004987937506582,True
26,-8.840891609906976e-07,-0.0367655479307814,0.5146639513768658,False
27,0.0001690049248281,3.9701204372646006,3.5970475228416504e-05,True
28,-6.380122613336425e-06,-1.3074801357901165,0.9044720177282658,False
29,9.019203786597709e-12,0.8635166899401076,0.1939288826472555,False
30,0.0001256263349205,5.036150243207582,2.383533495775185e-07,True
31,0.0007080677896738,12.461842125275108,6.844285175227967e-36,True
32,0.0001443491637473,2.7228178283671927,0.0032375568148084,False
33,0.0003356521192472,6.514924877170524,3.6721973014890426e-11,True
34,3.8758382614467735e-10,0.6600669684399214,0.2546070122905224,False
35,-6.533783930562365e-11,-1.353698522208119,0.9120805205484108,False
