feature_i,feature_j,delta_mse,t_stat,p_value,significant
CstF,Motif 12,6.505545407931024e-11,1.8738051799982376,0.0304805020076221,False
CstF,hnRNP H,-5.2149789553368464e-05,-4.146480296425448,0.9999831009795904,False
CstF,FIP1,-1.578078922648274e-06,-11.400414335462996,1.0,False
CstF,CSE,0.0157873816788196,110.71293908863146,0.0,True
RBM4/FUS,RBM4/FUS,4.424011070675027e-12,0.2199001355480299,0.4129747520420687,False
RBM4/FUS,Alt. CSE 2,-1.885485040667434e-12,-0.8227391546308666,0.7946705749826558,False
RBM4/FUS,Motif 12,-1.8086501046843395e-11,-2.049262197167574,0.979780095803575,False
RBM4/FUS,hnRNP H,-3.1912476133877377e-11,-0.3286892824866154,0.6288042824394706,False
RBM4/FUS,FIP1,7.021995485079202e-11,2.475297936746288,0.0066573035149112,False
RBM4/FUS,CSE,4.534509052966929e-12,1.5393845651869271,0.0618572406919978,False
Alt. CSE 2,Alt. CSE 2,-7.823114443576695e-13,-0.0974778183933057,0.5388264008888508,False
Alt. CSE 2,Motif 12,-1.5658745133872998e-11,-1.6613351936291787,0.9516749252462936,False
Alt. CSE 2,hnRNP H,8.415062160921436e-16,1.000000075106075,0.1586567811217668,False
Alt. CSE 2,FIP1,3.5490877597910136e-11,1.075206206831688,0.1411428653678164,False
Alt. CSE 2,CSE,0.0019637420773506,42.14044824451965,0.0,True
Motif 12,Motif 12,1.4336303411771614e-12,0.2717936694627049,0.3928906948891857,False
Motif 12,hnRNP H,-3.0814694546021926e-11,-1.3435670180465626,0.9104538325212032,False
Motif 12,FIP1,5.206186501870158e-13,0.0249947655901345,0.4900296012315862,False
Motif 12,CSE,0.0007163739064708,19.21219774902115,2.2627384240514357e-82,True
hnRNP H,hnRNP H,0.0003298253868706,18.472476624447395,2.4969288186747948e-76,True
hnRNP H,FIP1,7.988405076320149e-12,1.0983416802979795,0.1360293479431817,False
hnRNP H,CSE,0.001783357351087,39.90767658916352,0.0,True
FIP1,FIP1,8.297466880247129e-11,2.560038590202646,0.005233956941653,False
FIP1,CSE,0.014866342768073,54.02233264799654,0.0,True
CSE,CSE,0.0140408566221594,75.04296068092631,0.0,True
