filter,delta_mse,t_stat,p_value,significant
0,0.0152560928836464,46.062718840086646,0.0,True
1,0.0008971237111836,11.094757995266354,7.205803305351103e-29,True
2,0.0001995394995901,4.1881671210152325,1.4085908775353044e-05,True
3,0.0033956246916204,24.293952407451247,6.91850237279146e-130,True
4,0.0045728320255875,27.284948486868604,5.62754703116166e-163,True
5,-1.300191643802476e-13,-0.0050661530086902,0.5020210834533672,False
6,0.0022855955176055,18.299833659129835,7.451933250476286e-75,True
7,0.0084479199722409,34.75807990832743,9.413749377517868e-262,True
8,0.0027828568127006,21.06008610913958,2.572510990142539e-98,True
9,0.0002668716770131,6.550077172356415,2.9043581761914663e-11,True
10,0.0046696909703314,25.49028913261298,1.1259087283968546e-142,True
11,0.0004399504687171,10.177340941930352,1.3248376839009642e-24,True
12,-1.8458217593275705e-11,-1.7331945012022676,0.9584662343335092,False
13,0.00088265852537,10.869813002452334,8.641875586296132e-28,True
14,2.3771623558488383e-11,1.343616148791865,0.0895394506884049,False
15,-6.21384471655162e-11,-1.347146345307698,0.9110302655168084,False
16,-2.1678171410743907e-11,-0.7546304257812135,0.7747627661145717,False
17,4.1693666748277006e-12,0.0625755087007579,0.4750523965865417,False
18,0.0021045901812613,17.335531494800158,2.033584061764116e-67,True
19,4.841623768570003e-10,3.8998823234097135,4.818524554361334e-05,True
20,4.5316758158497886e-12,0.1928056653690071,0.423555991396893,False
21,0.000331133720465,9.922204942516936,1.754581449742418e-23,True
22,-1.12684993280876e-10,-1.722996162609564,0.9575521676022852,False
23,0.0003854603273794,7.809214819822767,2.9353920618332557e-15,True
24,-4.640742304329315e-11,-0.7649680926789402,0.7778528456768428,False
25,0.0090915150940418,34.92118320133207,3.6714531170278014e-264,True
26,0.0017047603614628,14.85156572447668,4.385635268428789e-50,True
27,0.0068053570576012,28.708712197342745,4.963926786642852e-180,True
28,0.0001000757547444,3.774007088668759,8.041973700860885e-05,True
29,9.543477119677846e-12,0.9862217558314432,0.1620146403628978,False
30,0.0018432962242513,14.503627647579131,7.247122989245313e-48,True
31,0.0067893271334469,32.71975366016838,1.4898988401211445e-232,True
32,0.0120815159752964,37.07399799147306,5.8828411294843386e-297,True
33,0.0151641406118869,43.99155738636759,0.0,True
34,1.882614064641075e-10,0.3107855899921999,0.3779824878498036,False
35,-5.0543156465687744e-11,-1.0299188316079075,0.8484733482135707,False
