feature_i,feature_j,delta_mse,t_stat,p_value,significant
Motif 8,CstF,0.0137400338426232,114.99534869959824,0.0,True
Motif 8,RBM4/FUS,-1.9834512698935214e-08,-9.238354932722272,1.0,False
Motif 8,Alt. CSE 2,0.0004549144068732,20.219387559068583,5.639991983870982e-91,True
Motif 8,Motif 12,0.0002793146995827,20.95728248186208,1.4914046223288504e-97,True
Motif 8,hnRNP H,0.0014007706195116,38.42712204564216,0.0,True
Motif 8,FIP1,0.0002285556984134,13.578393428964894,3.0010824778717287e-42,True
Motif 8,CSE,0.0590100325644016,160.8377121389905,0.0,True
CstF,CstF,0.0136079397052526,114.76338548182927,0.0,True
CstF,RBM4/FUS,0.0135694658383727,114.56640519992663,0.0,True
CstF,Alt. CSE 2,0.0129169393330812,111.5372976057546,0.0,True
CstF,Motif 12,0.0150069333612918,117.18774085040144,0.0,True
CstF,hnRNP H,0.017204338684678,117.86486019186682,0.0,True
CstF,FIP1,0.0145052792504429,115.605118422939,0.0,True
CstF,CSE,0.0492996349930763,152.77637282660862,0.0,True
RBM4/FUS,RBM4/FUS,-2.098797402538821e-08,-9.96601082711898,1.0,False
RBM4/FUS,Alt. CSE 2,0.0004531485028564,20.29957155961818,1.1162230264484594e-91,True
RBM4/FUS,Motif 12,0.0002826823038049,20.89971659604405,4.955539607738795e-97,True
RBM4/FUS,hnRNP H,0.0014337636530399,39.34144741015793,0.0,True
RBM4/FUS,FIP1,0.0002365074760746,14.261583206456212,2.1691580190053557e-46,True
RBM4/FUS,CSE,0.0592825822532177,160.99705547996294,0.0,True
Alt. CSE 2,Alt. CSE 2,0.0004456598544493,19.9484542972725,1.2827313078951303e-88,True
Alt. CSE 2,Motif 12,0.0007362102624028,27.21702295249533,1.1705717662662463e-162,True
Alt. CSE 2,hnRNP H,0.0018339842790737,42.16608277460315,0.0,True
Alt. CSE 2,FIP1,0.0008070519543252,27.46141909155972,1.549611533795558e-165,True
Alt. CSE 2,CSE,0.0547999367117881,157.59832756975698,0.0,True
Motif 12,Motif 12,0.0002818653010763,20.53456472072803,9.335763487259885e-94,True
Motif 12,hnRNP H,0.0018908894853666,46.48846318923115,0.0,True
Motif 12,FIP1,0.0005477849626913,23.85188511713044,1.3587386520906242e-125,True
Motif 12,CSE,0.0585260689258575,160.28380749248083,0.0,True
hnRNP H,hnRNP H,0.0014432795578613,40.72191333465496,0.0,True
hnRNP H,FIP1,0.0018403785070404,43.87663670568298,0.0,True
hnRNP H,CSE,0.0644329860806465,163.80519691118516,0.0,True
FIP1,FIP1,0.0002358903002459,13.949732057900665,1.7837502102381894e-44,True
FIP1,CSE,0.0581459440290927,159.56249832169578,0.0,True
CSE,CSE,0.0592223592102527,161.2412771622125,0.0,True
