filter_i,filter_j,delta_mse,t_stat,p_value,significant
0,0,1.4803400517848786e-05,2.016943932274935,0.0218534629263915,False
0,1,1.1885180356330238e-05,1.415919526643016,0.0784027805130803,False
0,2,-3.707957940690676e-09,-0.9622216810437764,0.8320284442023622,False
0,3,2.7149491870659404e-05,4.384747601071815,5.818356113741125e-06,True
0,4,0.0003301131364423,7.837229825008043,2.3501631487010176e-15,True
0,5,5.652600520988926e-07,0.8894362513061309,0.1868865653255905,False
0,6,1.5941246601869352e-05,1.5340321710957463,0.0625141672879109,False
0,7,2.7548274772470904e-08,1.989520522683997,0.0233247242680675,False
0,8,6.995547323640494e-07,1.3372763310343168,0.0905693980004161,False
0,9,7.06938729777562e-10,0.1216161014986972,0.451601785249999,False
0,10,-3.686452032525267e-07,-1.207860165026013,0.8864464948786727,False
0,11,-4.313216450668733e-08,-1.6336168946667269,0.9488270590671996,False
0,12,-1.3319072422746106e-07,-3.288983045499178,0.9994968876312508,False
0,13,3.622160988925316e-07,1.1359460500842462,0.1279924100233492,False
0,14,-4.3468605781527003e-07,-3.089052503895603,0.9989954465079778,False
0,15,-1.861963596638816e-07,-0.8588234571245424,0.8047788919512442,False
0,16,1.6276246242341585e-05,0.9443287773998804,0.1725032108501075,False
0,17,1.051066465151962e-05,0.3206336375226181,0.3742447201414179,False
0,18,7.571606452927426e-09,0.7085095098387938,0.2393161760761649,False
0,19,-1.753855758579448e-05,-1.4434764685661958,0.9255535859857816,False
0,20,0.0003069269878324,6.854582501656368,3.619171138003032e-12,True
0,21,-9.702291237090321e-08,-4.445461835835977,0.9999956050148668,False
0,22,3.493310032354202e-06,0.5967698309981206,0.2753319398247555,False
0,23,-3.1716751891508466e-08,-1.2016226537656496,0.8852421531068777,False
0,24,3.433878181802185e-10,0.0196663030491987,0.4921548268289421,False
0,25,9.766818402567878e-05,3.2483818580933828,0.0005807160378752,False
0,26,5.11825746229988e-08,0.3041897400537658,0.3804923303337475,False
0,27,-3.1518530363428e-07,-3.381838203700392,0.9996396999233904,False
0,28,2.0789770132978447e-05,1.9005023885726031,0.0286866059127823,False
0,29,1.1227041341044242e-06,0.1779442850265994,0.4293837414477326,False
